jahr,prozent
1990,0.125892223365436
1991,0.250274153436101
1992,0.435285290207688
1993,0.463635096479496
1994,0.922541043112975
1995,1.8377377536464
1996,3.05480523429391
1997,6.71108747669468
1998,9.87785242805539
1999,20.8459826390268
2000,30.2163466048889
2001,31.650939416316
2002,48.82
2003,55.9
2004,64.73
2005,68.71
2006,72.16
2007,75.16
2008,78
2009,79
2010,82
2011,81.26999953602
2012,82.3499984738392
2013,84.17
2014,86.19
2015,87.5898
2016,89.6471005903368
2017,84.3955007745673
2018,87.0
2019,88.1
2020,89
2021,90.1
2022,91
2023,92
2024,90.1
2025,88
2026,88
2027,88
2028,87
2029,86
2030,85
2031,83
2032,82
2033,82.5
2034,83
2035,84
2036,85
2037,86
2038,87
2039,88
2040,89
2041,90.1
2042,91
2043,91
2044,90.1
2045,89
2046,88
2047,89
2048,90.1
2049,90.1
2050,92